text,true_label,pred_classical,prob_classical,pred_bert,prob_bert,conf_classical,conf_bert,correct_classical,correct_bert,word_count
i tried to change thing and live happier but nothing i do work so im just gon na give up bye,1,0,0.4504276800014967,1,0.999360978603363,0.5495723199985033,0.999360978603363,False,True,21
being loved by everyone having money to take care of my family giving back traveling the world getting up each morning working on project having no insecurity being respected being king,1,0,0.3375002513437929,1,0.9998112320899964,0.6624997486562071,0.9998112320899964,False,True,31
now i regret ever seeking help the hotline had me wait so long and basically just mirror my word what s the point of looking for help anyway they just add to thing i fail again,1,0,0.4916515864667157,1,0.9997913241386414,0.5083484135332843,0.9997913241386414,False,True,36
lately all i basically is sleep i just don t have the energy for anything else these day i wa told i need more intensive treatment but i just don t have the energy for that a sad a that sound lmao i just want to end this,1,0,0.4844611252480821,1,0.9998899698257446,0.5155388747519178,0.9998899698257446,False,True,48
life is so fucked human are so fucked and cruel and hedonistic and trash and mean and disgusting humanity deserves to die out a a specie so this planet and the animal that get constantly fucked by u can finally have their rest,1,0,0.4775652861804319,1,0.9998770952224731,0.5224347138195681,0.9998770952224731,False,True,43
life s rushing towards me at 0km h and instead of going forward i just stand there scared shitless and watch the headlight getting closer,1,0,0.3542302113981006,1,0.9975872039794922,0.6457697886018994,0.9975872039794922,False,True,25
i m trying really hard,1,0,0.2924552858325421,1,0.8822883367538452,0.7075447141674579,0.8822883367538452,False,True,5
surviving and being in worst condition or facing the disappointment of my family is the only thing stopping me from ending it,1,0,0.3390610679325277,1,0.9995763897895812,0.6609389320674723,0.9995763897895812,False,True,22
can your job fire you if you attend an intensive outpatient program and need to work part time while you attend my therapist and psychiatrist said they would not be able to but my therapist wasn t entirely sure,1,0,0.3559889272754932,1,0.9998441934585572,0.6440110727245068,0.9998441934585572,False,True,39
waiting for godot is a play where nothing happens two men stand at a bus stop waiting for a man named godot to come he never arrives that s existence waiting for someone or something that never arrives i ve been waiting for my friend for a long time and yet they never come i used to think i had a few close friend who would be there for me when i needed them but time ha proven otherwise so i m waiting for godot now but sooner or later i could simply find a ticket and take a bus,1,0,0.4985763115702622,1,0.999881148338318,0.5014236884297378,0.999881148338318,False,True,100
mistystilletto if it had happened to anyone else i would have peed myself laughing i scraped my leg,0,1,0.5163023223092631,0,0.0007983358809724,0.5163023223092631,0.9992016641190276,False,True,18
how do you get over it,1,0,0.2495022695910626,1,0.8439397215843201,0.7504977304089374,0.8439397215843201,False,True,6
want her step brother home im so worried you dont even know i hope he know how much i care for him,0,1,0.7731274350906895,0,0.0155424671247601,0.7731274350906895,0.9844575328752398,False,True,22
kevchoice i just don t get it what in a person mind could even have them on some ish like this my prayer are with her fam for real,0,1,0.5843240874467273,0,0.0010791083332151,0.5843240874467273,0.9989208916667849,False,True,29
joshsharp no money yet i dont know anyone who ha maybe it all just a lie he having u on so we all like him a little bit more lol,0,1,0.5295208542659855,0,0.0006671847659163,0.5295208542659855,0.9993328152340837,False,True,30
and then i realize normal is horrible and mean working a job i hate to barely afford gas to work and killing brain cell with drug to put up with it,1,0,0.3254895745530425,1,0.9994441866874696,0.6745104254469575,0.9994441866874696,False,True,31
i try and try but i just can t do it,1,0,0.2257555136602578,1,0.992987334728241,0.7742444863397422,0.992987334728241,False,True,11
commit suicide or selfharm,1,0,0.3447579278945031,1,0.9995383024215698,0.6552420721054969,0.9995383024215698,False,True,4
i m not strong enough to kill me,1,0,0.4064752643870326,1,0.9920939803123474,0.5935247356129674,0.9920939803123474,False,True,8
vanidosa what s wrong why do you need an inhaler i didn t even know you were sick hope you start feeling better,0,1,0.5078471207672725,0,0.0016590545419603,0.5078471207672725,0.9983409454580398,False,True,23
